Data_Point,Date_Time,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),dV/dt(V/s),Internal_Resistance(Ohm),dQ/dV(Ah/V),dV/dQ(V/Ah),FIRST_POINT,LAST_POINT,CC2CV_POINT,UNSAFE_POINT,WARNING_POINT,BMS_CONTORL_POINT,SMB_CONTORL_POINT,SIMLATION_POINT,PLUSE_POINT,SDL_POINT,IR_POINT,BURSTMODE_POINT,RESUME_POINT,SET_VALUABLE_POINT,SET_VALUE_POINT,DYNAMIC_CONTROL_ON,CURRENT_FILTER_OFF,POWER_MANAGE_FUNCTION_ON,CURRENT_COARSETUNE_OFF,CURRENT_FINETUNE_OFF,IR_VALUE_NULL,SIMU_CLAMPDIGITVOLT_ON,CURRENT_SOFTWARECLAMP_ON,POWER_SOFTWARECLAMP_ON
1,09/06/2023 12:36:18.335,1.0034,1.0033,1,1,0,0.1813831,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2,09/06/2023 12:36:18.339,1.0076,1.0075,1,1,0,0.1813979,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
3,09/06/2023 12:36:18.345,1.0131,1.013,1,1,0,0.1814103,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
4,09/06/2023 12:36:18.349,1.0172,1.0171,1,1,0,0.181417,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
5,09/06/2023 12:36:18.354,1.0226,1.0225,1,1,0,0.1813993,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
6,09/06/2023 12:36:18.359,1.0274,1.0273,1,1,0,0.1813903,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
7,09/06/2023 12:36:18.364,1.0321,1.032,1,1,0,0.1814041,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
8,09/06/2023 12:36:18.368,1.0365,1.0364,1,1,0,0.1813974,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
9,09/06/2023 12:36:18.373,1.0417,1.0416,1,1,0,0.1814094,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
10,09/06/2023 12:36:18.378,1.0468,1.0467,1,1,0,0.1814046,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
11,09/06/2023 12:36:18.383,1.0513,1.0512,1,1,0,0.1814084,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
12,09/06/2023 12:36:18.388,1.0562,1.0561,1,1,0,0.1814032,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
13,09/06/2023 12:36:18.393,1.0611,1.061,1,1,0,0.1814013,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
14,09/06/2023 12:36:18.397,1.0653,1.0652,1,1,0,0.1814008,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
15,09/06/2023 12:36:18.402,1.0706,1.0705,1,1,0,0.1814041,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
16,09/06/2023 12:36:18.406,1.0748,1.0747,1,1,0,0.1814094,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
17,09/06/2023 12:36:18.412,1.0803,1.0802,1,1,0,0.1814075,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
18,09/06/2023 12:36:18.416,1.085,1.0849,1,1,0,0.181406,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
19,09/06/2023 12:36:18.421,1.0899,1.0898,1,1,0,0.1814046,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
20,09/06/2023 12:36:18.425,1.094,1.0939,1,1,0,0.1813941,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
21,09/06/2023 12:36:18.431,1.0993,1.0992,1,1,0,0.1813955,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
22,09/06/2023 12:36:18.435,1.1035,1.1034,1,1,0,0.181397,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
23,09/06/2023 12:36:18.441,1.1091,1.109,1,1,0,0.1814113,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
24,09/06/2023 12:36:18.445,1.1138,1.1137,1,1,0,0.1814022,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
25,09/06/2023 12:36:18.450,1.1186,1.1185,1,1,0,0.1814103,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
26,09/06/2023 12:36:18.454,1.1228,1.1227,1,1,0,0.1814075,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
27,09/06/2023 12:36:18.460,1.1281,1.128,1,1,0,0.1814179,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
28,09/06/2023 12:36:18.464,1.1323,1.1322,1,1,0,0.1814294,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
29,09/06/2023 12:36:18.469,1.1379,1.1378,1,1,0,0.1814289,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
30,09/06/2023 12:36:18.473,1.142,1.1419,1,1,0,0.1814322,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
31,09/06/2023 12:36:18.479,1.1473,1.1472,1,1,0,0.1814446,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
32,09/06/2023 12:36:18.483,1.1515,1.1514,1,1,0,0.1814375,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
33,09/06/2023 12:36:18.489,1.1571,1.157,1,1,0,0.1814303,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
34,09/06/2023 12:36:18.493,1.1613,1.1612,1,1,0,0.1814256,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
